time,sensor,temperature
1:21:47 PM,T_APU_SURF_12,44.2
1:21:47 PM,T_APU_SURF_22,61
1:21:47 PM,T_APU_SURF_27,52.5
1:21:47 PM,T_APU_SURF_19,62.8
1:22:00 PM,T_APU_SURF_28,43.8
1:22:00 PM,T_APU_SURF_5,43.1
1:22:00 PM,T_APU_SURF_7,43.2
1:22:00 PM,T_APU_SURF_26,43.1
1:22:00 PM,T_APU_SURF_31,45.4
1:22:00 PM,T_APU_SURF_21,42.9
1:22:00 PM,T_APU_SURF_10,44.8
1:22:00 PM,T_APU_SURF_20,42.4
1:22:00 PM,T_APU_SURF_29,44.8
1:22:00 PM,T_APU_SURF_13,45
1:22:00 PM,T_APU_SURF_25,43
1:22:00 PM,T_APU_SURF_32,42.8
1:22:00 PM,T_APU_SURF_24,59.6
1:22:00 PM,T_APU_SURF_33,60.6
1:22:00 PM,T_APU_SURF_11,61.2
1:22:00 PM,T_APU_SURF_30,57.3
1:22:00 PM,T_APU_SURF_8,57.4
1:22:00 PM,T_APU_SURF_9,57.6
1:22:00 PM,T_APU_SURF_15,58.9
1:22:00 PM,T_APU_SURF_16,59.5
1:22:00 PM,T_APU_SURF_12,44.4
1:22:00 PM,T_APU_SURF_22,62
1:22:00 PM,T_APU_SURF_27,54
1:22:00 PM,T_APU_SURF_19,61.9
1:22:14 PM,T_APU_SURF_28,42.7
1:22:14 PM,T_APU_SURF_5,43.2
1:22:14 PM,T_APU_SURF_7,43.2
1:22:14 PM,T_APU_SURF_26,43.9
1:22:14 PM,T_APU_SURF_31,45.8
1:22:14 PM,T_APU_SURF_21,43.6
1:22:14 PM,T_APU_SURF_10,44.1
1:22:14 PM,T_APU_SURF_20,44.3
1:22:14 PM,T_APU_SURF_29,45.6
1:22:14 PM,T_APU_SURF_13,45.7
1:22:14 PM,T_APU_SURF_25,43.4
1:22:14 PM,T_APU_SURF_32,43.8
1:22:14 PM,T_APU_SURF_24,58.3
1:22:14 PM,T_APU_SURF_33,59.1
1:22:14 PM,T_APU_SURF_11,63
1:22:14 PM,T_APU_SURF_30,56.9
1:22:14 PM,T_APU_SURF_8,56.5
1:22:14 PM,T_APU_SURF_9,57.1
1:22:14 PM,T_APU_SURF_15,61.4
1:22:14 PM,T_APU_SURF_16,59.9
1:22:14 PM,T_APU_SURF_12,46.1
1:22:14 PM,T_APU_SURF_22,62.2
1:22:14 PM,T_APU_SURF_27,54.6
1:22:14 PM,T_APU_SURF_19,61
1:22:27 PM,T_APU_SURF_28,43.5
1:22:27 PM,T_APU_SURF_5,44
1:22:27 PM,T_APU_SURF_7,42.8
1:22:27 PM,T_APU_SURF_26,43.6
1:22:27 PM,T_APU_SURF_31,45.8
1:22:27 PM,T_APU_SURF_21,44.1
1:22:27 PM,T_APU_SURF_10,45.8
1:22:27 PM,T_APU_SURF_20,43.7
1:22:27 PM,T_APU_SURF_29,45.6
1:22:27 PM,T_APU_SURF_13,46.6
1:22:27 PM,T_APU_SURF_25,44.5
1:22:27 PM,T_APU_SURF_32,45.8
1:22:27 PM,T_APU_SURF_24,59.3
1:22:27 PM,T_APU_SURF_33,60.9
1:22:27 PM,T_APU_SURF_11,62.4
1:22:27 PM,T_APU_SURF_30,58
1:22:27 PM,T_APU_SURF_8,58.5
1:22:27 PM,T_APU_SURF_9,58.5
1:22:27 PM,T_APU_SURF_15,60
1:22:27 PM,T_APU_SURF_16,60.1
1:22:27 PM,T_APU_SURF_12,46.6
1:22:27 PM,T_APU_SURF_22,62.1
1:22:27 PM,T_APU_SURF_27,54.6
1:22:27 PM,T_APU_SURF_19,61
1:22:40 PM,T_APU_SURF_28,45.3
1:22:40 PM,T_APU_SURF_5,43.8
1:22:40 PM,T_APU_SURF_7,44
1:22:40 PM,T_APU_SURF_26,43.6
1:22:40 PM,T_APU_SURF_31,46
1:22:40 PM,T_APU_SURF_21,44.2
1:22:40 PM,T_APU_SURF_10,44.4
1:22:40 PM,T_APU_SURF_20,45.1
1:22:40 PM,T_APU_SURF_29,44.8
1:22:40 PM,T_APU_SURF_13,45.5
1:22:40 PM,T_APU_SURF_25,44.6
1:22:40 PM,T_APU_SURF_32,45.1
1:22:40 PM,T_APU_SURF_24,61
1:22:40 PM,T_APU_SURF_33,59.4
1:22:40 PM,T_APU_SURF_11,63.2
1:22:40 PM,T_APU_SURF_30,59.1
1:22:40 PM,T_APU_SURF_8,57.8
1:22:40 PM,T_APU_SURF_9,58.5
1:22:40 PM,T_APU_SURF_15,59.5
1:22:40 PM,T_APU_SURF_16,59.2
1:22:40 PM,T_APU_SURF_12,47.3
1:22:40 PM,T_APU_SURF_22,63.2
1:22:40 PM,T_APU_SURF_27,52.7
1:22:40 PM,T_APU_SURF_19,63.3
1:22:54 PM,T_APU_SURF_28,42.7
1:22:54 PM,T_APU_SURF_5,44.1
1:22:54 PM,T_APU_SURF_7,44.3
1:22:54 PM,T_APU_SURF_26,45
1:22:54 PM,T_APU_SURF_31,46.2
1:22:54 PM,T_APU_SURF_21,43.7
1:22:54 PM,T_APU_SURF_10,46.5
1:22:54 PM,T_APU_SURF_20,44.8
1:22:54 PM,T_APU_SURF_29,45.4
1:22:54 PM,T_APU_SURF_13,46.3
1:22:54 PM,T_APU_SURF_25,44.2
1:22:54 PM,T_APU_SURF_32,46
1:22:54 PM,T_APU_SURF_24,60.5
1:22:54 PM,T_APU_SURF_33,59.7
1:22:54 PM,T_APU_SURF_11,63.4
1:22:54 PM,T_APU_SURF_30,56.3
1:22:54 PM,T_APU_SURF_8,58.2
1:22:54 PM,T_APU_SURF_9,58.4
1:22:54 PM,T_APU_SURF_15,61.2
1:22:54 PM,T_APU_SURF_16,60.5
1:22:54 PM,T_APU_SURF_12,45.4
1:22:54 PM,T_APU_SURF_22,64.6
1:22:54 PM,T_APU_SURF_27,54.1
1:22:54 PM,T_APU_SURF_19,62.5
1:23:07 PM,T_APU_SURF_28,43.8
1:23:07 PM,T_APU_SURF_5,44.8
1:23:07 PM,T_APU_SURF_7,43.8
1:23:07 PM,T_APU_SURF_26,43.9
1:23:07 PM,T_APU_SURF_31,46.2
1:23:07 PM,T_APU_SURF_21,45.2
1:23:07 PM,T_APU_SURF_10,46.5
1:23:07 PM,T_APU_SURF_20,44.4
1:23:07 PM,T_APU_SURF_29,46.7
1:23:07 PM,T_APU_SURF_13,46.2
1:23:07 PM,T_APU_SURF_25,45.1
1:23:07 PM,T_APU_SURF_32,45.6
1:23:07 PM,T_APU_SURF_24,61.6
1:23:07 PM,T_APU_SURF_33,60
1:23:07 PM,T_APU_SURF_11,62.1
1:23:07 PM,T_APU_SURF_30,58.9
1:23:07 PM,T_APU_SURF_8,58.4
1:23:07 PM,T_APU_SURF_9,58.4
1:23:07 PM,T_APU_SURF_15,60.4
1:23:07 PM,T_APU_SURF_16,60
1:23:07 PM,T_APU_SURF_12,48.1
1:23:07 PM,T_APU_SURF_22,63.7
1:23:07 PM,T_APU_SURF_27,54.3
1:23:07 PM,T_APU_SURF_19,61.6
1:23:20 PM,T_APU_SURF_28,45.1
1:23:20 PM,T_APU_SURF_5,45.1
1:23:20 PM,T_APU_SURF_7,44.2
1:23:20 PM,T_APU_SURF_26,44
1:23:20 PM,T_APU_SURF_31,46
1:23:20 PM,T_APU_SURF_21,45.4
1:23:20 PM,T_APU_SURF_10,46
1:23:20 PM,T_APU_SURF_20,45.8
1:23:20 PM,T_APU_SURF_29,46.9
1:23:20 PM,T_APU_SURF_13,46.4
1:23:20 PM,T_APU_SURF_25,44.5
1:23:20 PM,T_APU_SURF_32,44.2
1:23:20 PM,T_APU_SURF_24,59.2
1:23:20 PM,T_APU_SURF_33,61.2
1:23:20 PM,T_APU_SURF_11,62
1:23:20 PM,T_APU_SURF_30,58.6
1:23:20 PM,T_APU_SURF_8,58.2
1:23:20 PM,T_APU_SURF_9,59.7
1:23:20 PM,T_APU_SURF_15,60
1:23:20 PM,T_APU_SURF_16,59.1
1:23:20 PM,T_APU_SURF_12,48.8
1:23:20 PM,T_APU_SURF_22,63.2
1:23:20 PM,T_APU_SURF_27,53.4
1:23:20 PM,T_APU_SURF_19,60.6
1:23:34 PM,T_APU_SURF_28,45.1
1:23:34 PM,T_APU_SURF_5,45.6
1:23:34 PM,T_APU_SURF_7,43.6
1:23:34 PM,T_APU_SURF_26,45
1:23:34 PM,T_APU_SURF_31,46.3
1:23:34 PM,T_APU_SURF_21,45.1
1:23:34 PM,T_APU_SURF_10,47
1:23:34 PM,T_APU_SURF_20,43.8
1:23:34 PM,T_APU_SURF_29,47.1
1:23:34 PM,T_APU_SURF_13,46.2
1:23:34 PM,T_APU_SURF_25,45.9
1:23:34 PM,T_APU_SURF_32,45.4
1:23:34 PM,T_APU_SURF_24,59.8
1:23:34 PM,T_APU_SURF_33,60.9
1:23:34 PM,T_APU_SURF_11,62.1
1:23:34 PM,T_APU_SURF_30,58.5
1:23:34 PM,T_APU_SURF_8,57
1:23:34 PM,T_APU_SURF_9,58.1
1:23:34 PM,T_APU_SURF_15,60.7
1:23:34 PM,T_APU_SURF_16,58.9
1:23:34 PM,T_APU_SURF_12,46.1
1:23:34 PM,T_APU_SURF_22,63.2
1:23:34 PM,T_APU_SURF_27,54.2
1:23:34 PM,T_APU_SURF_19,61
1:23:47 PM,T_APU_SURF_28,45.9
1:23:47 PM,T_APU_SURF_5,44.9
1:23:47 PM,T_APU_SURF_7,43.6
1:23:47 PM,T_APU_SURF_26,45.2
1:23:47 PM,T_APU_SURF_31,47.9
1:23:47 PM,T_APU_SURF_21,44.8
1:23:47 PM,T_APU_SURF_10,47.1
1:23:47 PM,T_APU_SURF_20,45.2
1:23:47 PM,T_APU_SURF_29,46
1:23:47 PM,T_APU_SURF_13,46.5
1:23:47 PM,T_APU_SURF_25,45.3
1:23:47 PM,T_APU_SURF_32,45.9
1:23:47 PM,T_APU_SURF_24,60.3
1:23:47 PM,T_APU_SURF_33,62.6
1:23:47 PM,T_APU_SURF_11,62.7
1:23:47 PM,T_APU_SURF_30,58.1
1:23:47 PM,T_APU_SURF_8,58
1:23:47 PM,T_APU_SURF_9,59.6
1:23:47 PM,T_APU_SURF_15,60.6
1:23:47 PM,T_APU_SURF_16,58.2
1:23:47 PM,T_APU_SURF_12,48.3
1:23:47 PM,T_APU_SURF_22,62.6
1:23:47 PM,T_APU_SURF_27,55.2
1:23:47 PM,T_APU_SURF_19,62.7
1:24:00 PM,T_APU_SURF_21,45.6
1:24:00 PM,T_APU_SURF_10,46.5
1:24:00 PM,T_APU_SURF_20,44.8
1:24:00 PM,T_APU_SURF_29,46.7
1:24:00 PM,T_APU_SURF_13,46.2
1:24:00 PM,T_APU_SURF_25,46.3
1:24:00 PM,T_APU_SURF_32,45.5
1:24:00 PM,T_APU_SURF_24,61.6
1:24:00 PM,T_APU_SURF_33,62.1
1:24:00 PM,T_APU_SURF_11,61.5
1:24:00 PM,T_APU_SURF_30,56.8
1:24:00 PM,T_APU_SURF_8,57.8
1:24:00 PM,T_APU_SURF_9,58.9
1:24:00 PM,T_APU_SURF_15,61.9
1:24:00 PM,T_APU_SURF_16,60.6
1:24:00 PM,T_APU_SURF_12,47.6
1:24:00 PM,T_APU_SURF_22,64
1:24:00 PM,T_APU_SURF_27,54
1:24:00 PM,T_APU_SURF_19,63.4
1:24:01 PM,T_APU_SURF_28,44.6
1:24:01 PM,T_APU_SURF_5,43.6
1:24:01 PM,T_APU_SURF_7,43.9
1:24:01 PM,T_APU_SURF_26,45.9
1:24:01 PM,T_APU_SURF_31,47.3
1:24:14 PM,T_APU_SURF_28,45.9
1:24:14 PM,T_APU_SURF_5,45.2
1:24:14 PM,T_APU_SURF_7,44.2
1:24:14 PM,T_APU_SURF_26,47.3
1:24:14 PM,T_APU_SURF_31,45.5
1:24:14 PM,T_APU_SURF_21,46.1
1:24:14 PM,T_APU_SURF_10,47.8
1:24:14 PM,T_APU_SURF_20,46.5
1:24:14 PM,T_APU_SURF_29,48
1:24:14 PM,T_APU_SURF_13,48.7
1:24:14 PM,T_APU_SURF_25,46.6
1:24:14 PM,T_APU_SURF_32,46.4
1:24:14 PM,T_APU_SURF_24,60.3
1:24:14 PM,T_APU_SURF_33,60.1
1:24:14 PM,T_APU_SURF_11,63.2
1:24:14 PM,T_APU_SURF_30,59.4
1:24:14 PM,T_APU_SURF_8,58
1:24:14 PM,T_APU_SURF_9,58.2
1:24:14 PM,T_APU_SURF_15,61.2
1:24:14 PM,T_APU_SURF_16,59.3
1:24:14 PM,T_APU_SURF_12,47.4
1:24:14 PM,T_APU_SURF_22,64.1
1:24:14 PM,T_APU_SURF_27,53.7
1:24:14 PM,T_APU_SURF_19,61.7
1:24:27 PM,T_APU_SURF_28,45.8
1:24:27 PM,T_APU_SURF_5,44.7
1:24:27 PM,T_APU_SURF_7,44.6
1:24:27 PM,T_APU_SURF_26,44.6
1:24:27 PM,T_APU_SURF_31,48.6
1:24:27 PM,T_APU_SURF_21,46.2
1:24:27 PM,T_APU_SURF_10,47.5
1:24:27 PM,T_APU_SURF_20,44.7
1:24:27 PM,T_APU_SURF_29,48.6
1:24:27 PM,T_APU_SURF_13,48.3
1:24:27 PM,T_APU_SURF_25,45.9
1:24:27 PM,T_APU_SURF_32,46.4
1:24:27 PM,T_APU_SURF_24,60.8
1:24:27 PM,T_APU_SURF_33,62
1:24:27 PM,T_APU_SURF_11,63.9
1:24:27 PM,T_APU_SURF_30,59
1:24:27 PM,T_APU_SURF_8,58.7
1:24:27 PM,T_APU_SURF_9,58.2
1:24:27 PM,T_APU_SURF_15,59.7
1:24:27 PM,T_APU_SURF_16,60.5
1:24:27 PM,T_APU_SURF_12,46.6
1:24:27 PM,T_APU_SURF_22,65.6
1:24:27 PM,T_APU_SURF_27,54.8
1:24:27 PM,T_APU_SURF_19,62.5
1:24:40 PM,T_APU_SURF_32,47.6
1:24:40 PM,T_APU_SURF_24,59.8
1:24:40 PM,T_APU_SURF_33,62.1
1:24:40 PM,T_APU_SURF_11,62.7
1:24:40 PM,T_APU_SURF_30,59.7
1:24:40 PM,T_APU_SURF_8,58.8
1:24:40 PM,T_APU_SURF_9,58.5
1:24:40 PM,T_APU_SURF_15,59.5
1:24:40 PM,T_APU_SURF_16,59.4
1:24:40 PM,T_APU_SURF_12,48.6
1:24:40 PM,T_APU_SURF_22,63.5
1:24:40 PM,T_APU_SURF_27,54.5
1:24:40 PM,T_APU_SURF_19,62.1
1:24:41 PM,T_APU_SURF_28,45.5
1:24:41 PM,T_APU_SURF_5,44
1:24:41 PM,T_APU_SURF_7,45.1
1:24:41 PM,T_APU_SURF_26,46.3
1:24:41 PM,T_APU_SURF_31,49
1:24:41 PM,T_APU_SURF_21,47.5
1:24:41 PM,T_APU_SURF_10,47
1:24:41 PM,T_APU_SURF_20,45.7
1:24:41 PM,T_APU_SURF_29,47.3
1:24:41 PM,T_APU_SURF_13,48.3
1:24:41 PM,T_APU_SURF_25,45.5
1:24:54 PM,T_APU_SURF_28,44.8
1:24:54 PM,T_APU_SURF_5,44.7
1:24:54 PM,T_APU_SURF_7,44.6
1:24:54 PM,T_APU_SURF_26,47.1
1:24:54 PM,T_APU_SURF_31,47.9
1:24:54 PM,T_APU_SURF_21,46.5
1:24:54 PM,T_APU_SURF_10,47.5
1:24:54 PM,T_APU_SURF_20,46.7
1:24:54 PM,T_APU_SURF_29,48
1:24:54 PM,T_APU_SURF_13,48.9
1:24:54 PM,T_APU_SURF_25,46.6
