time,sensor,temperature
1:21:20 PM,T_SURF2HS_1,47.9
1:21:20 PM,T_SURF1HS_1,51.9
1:21:20 PM,T_SURF6HS_0,52.1
1:21:20 PM,T_SURF5HS_0,52.4
1:21:20 PM,T_SURF4HS_0,52.4
1:21:20 PM,T_SURF3HS_0,51.9
1:21:20 PM,T_SURF2HS_0,51.2
1:21:20 PM,T_SURF1HS_0,51.4
1:21:33 PM,T_SURF6HS_2,36.9
1:21:33 PM,T_SURF5HS_2,36.9
1:21:33 PM,T_SURF4HS_2,37.4
1:21:33 PM,T_SURF3HS_2,38.3
1:21:33 PM,T_SURF2HS_2,37.6
1:21:33 PM,T_SURF1HS_2,37.9
1:21:33 PM,T_SURF6HS_1,51.4
1:21:33 PM,T_SURF5HS_1,52.9
1:21:33 PM,T_SURF4HS_1,52.6
1:21:33 PM,T_SURF3HS_1,54.3
1:21:33 PM,T_SURF2HS_1,47.9
1:21:33 PM,T_SURF1HS_1,52.4
1:21:33 PM,T_SURF6HS_0,52.6
1:21:33 PM,T_SURF5HS_0,52.4
1:21:33 PM,T_SURF4HS_0,52.9
1:21:33 PM,T_SURF3HS_0,51.9
1:21:33 PM,T_SURF2HS_0,51.2
1:21:33 PM,T_SURF1HS_0,51.2
1:21:34 PM,T_SURF7HS_3,37.1
1:21:34 PM,T_SURF6HS_3,36.9
1:21:34 PM,T_SURF5HS_3,37.6
1:21:34 PM,T_SURF4HS_3,37.9
1:21:34 PM,T_SURF3HS_3,38.1
1:21:34 PM,T_SURF2HS_3,36.9
1:21:34 PM,T_SURF1HS_3,33.1
1:21:34 PM,T_SURF7HS_2,37.1
1:21:47 PM,T_SURF7HS_3,37.6
1:21:47 PM,T_SURF6HS_3,37.4
1:21:47 PM,T_SURF5HS_3,37.6
1:21:47 PM,T_SURF4HS_3,38.1
1:21:47 PM,T_SURF3HS_3,38.1
1:21:47 PM,T_SURF2HS_3,36.9
1:21:47 PM,T_SURF1HS_3,33.1
1:21:47 PM,T_SURF7HS_2,37.1
1:21:47 PM,T_SURF6HS_2,36.9
1:21:47 PM,T_SURF5HS_2,36.9
1:21:47 PM,T_SURF4HS_2,37.4
1:21:47 PM,T_SURF3HS_2,38.8
1:21:47 PM,T_SURF2HS_2,37.6
1:21:47 PM,T_SURF1HS_2,38.1
1:21:47 PM,T_SURF6HS_1,51.9
1:21:47 PM,T_SURF5HS_1,53.1
1:21:47 PM,T_SURF4HS_1,52.9
1:21:47 PM,T_SURF3HS_1,53.6
1:21:47 PM,T_SURF2HS_1,47.9
1:21:47 PM,T_SURF1HS_1,52.4
1:21:47 PM,T_SURF6HS_0,52.9
1:21:47 PM,T_SURF5HS_0,52.6
1:21:47 PM,T_SURF4HS_0,53.1
1:21:47 PM,T_SURF3HS_0,52.1
1:21:47 PM,T_SURF2HS_0,51.2
1:21:47 PM,T_SURF1HS_0,51.4
1:22:00 PM,T_SURF7HS_3,37.4
1:22:00 PM,T_SURF6HS_3,37.6
1:22:00 PM,T_SURF5HS_3,37.9
1:22:00 PM,T_SURF4HS_3,38.3
1:22:00 PM,T_SURF3HS_3,38.6
1:22:00 PM,T_SURF2HS_3,37.6
1:22:00 PM,T_SURF1HS_3,33.1
1:22:00 PM,T_SURF7HS_2,37.1
1:22:00 PM,T_SURF6HS_2,37.4
1:22:00 PM,T_SURF5HS_2,36.9
1:22:00 PM,T_SURF4HS_2,37.6
1:22:00 PM,T_SURF3HS_2,38.8
1:22:00 PM,T_SURF2HS_2,38.1
1:22:00 PM,T_SURF1HS_2,38.3
1:22:00 PM,T_SURF6HS_1,51.7
1:22:00 PM,T_SURF5HS_1,53.1
1:22:00 PM,T_SURF4HS_1,52.6
1:22:00 PM,T_SURF3HS_1,54.5
1:22:00 PM,T_SURF2HS_1,48.1
