time,sensor,temperature
1:26:14 PM,T_TURFIO_1,62.3
1:26:14 PM,T_TURFIO_0,60.3
1:26:14 PM,T_RPU_TURF,55.7
1:26:14 PM,T_APU_TURF,55.1
1:26:27 PM,T_TURFIO_3,50.6
1:26:27 PM,T_TURFIO_2,52.8
1:26:27 PM,T_TURFIO_1,62.5
1:26:27 PM,T_TURFIO_0,61.4
1:26:27 PM,T_RPU_TURF,53.9
1:26:27 PM,T_APU_TURF,54
1:26:41 PM,T_TURFIO_3,50
1:26:41 PM,T_TURFIO_2,52.4
1:26:41 PM,T_TURFIO_1,62.6
1:26:41 PM,T_TURFIO_0,61.4
1:26:41 PM,T_RPU_TURF,53.4
1:26:41 PM,T_APU_TURF,54.4
1:26:54 PM,T_TURFIO_3,49.8
1:26:54 PM,T_TURFIO_2,52.5
1:26:54 PM,T_TURFIO_1,63.5
1:26:54 PM,T_TURFIO_0,60.2
1:26:54 PM,T_RPU_TURF,55
1:26:54 PM,T_APU_TURF,54.8
1:27:07 PM,T_TURFIO_3,50
1:27:07 PM,T_TURFIO_2,52.8
1:27:07 PM,T_TURFIO_1,62.9
1:27:07 PM,T_TURFIO_0,61.6
1:27:07 PM,T_RPU_TURF,54.2
1:27:07 PM,T_APU_TURF,53.6
1:27:21 PM,T_TURFIO_3,50.2
1:27:21 PM,T_TURFIO_2,52.8
1:27:21 PM,T_TURFIO_1,63.6
1:27:21 PM,T_TURFIO_0,61.5
1:27:21 PM,T_RPU_TURF,53.9
1:27:21 PM,T_APU_TURF,53.8
1:27:34 PM,T_TURFIO_3,50.8
1:27:34 PM,T_TURFIO_2,52.5
1:27:34 PM,T_TURFIO_1,63.4
1:27:34 PM,T_TURFIO_0,61
1:27:34 PM,T_RPU_TURF,55.3
1:27:34 PM,T_APU_TURF,53.4
1:27:47 PM,T_TURFIO_3,50.8
1:27:47 PM,T_TURFIO_2,52.8
1:27:47 PM,T_TURFIO_1,63.2
1:27:47 PM,T_TURFIO_0,61
1:27:47 PM,T_RPU_TURF,55.4
1:27:47 PM,T_APU_TURF,54.8
1:28:01 PM,T_TURFIO_3,50.6
1:28:01 PM,T_TURFIO_2,52.8
1:28:01 PM,T_TURFIO_1,62.8
1:28:01 PM,T_TURFIO_0,62.3
1:28:01 PM,T_RPU_TURF,54.4
1:28:01 PM,T_APU_TURF,55
1:28:14 PM,T_TURFIO_3,50.7
1:28:14 PM,T_TURFIO_2,52.5
1:28:14 PM,T_TURFIO_1,62.6
1:28:14 PM,T_TURFIO_0,61.6
1:28:14 PM,T_RPU_TURF,54.5
1:28:14 PM,T_APU_TURF,54
1:28:27 PM,T_TURFIO_3,50.7
1:28:27 PM,T_TURFIO_2,53.6
1:28:27 PM,T_TURFIO_1,63.7
1:28:27 PM,T_TURFIO_0,62.3
1:28:27 PM,T_RPU_TURF,54.6
1:28:27 PM,T_APU_TURF,55.9
1:28:41 PM,T_TURFIO_3,50.8
1:28:41 PM,T_TURFIO_2,52.5
1:28:41 PM,T_TURFIO_1,63.4
1:28:41 PM,T_TURFIO_0,62
1:28:41 PM,T_RPU_TURF,53.2
1:28:41 PM,T_APU_TURF,54.7
1:28:54 PM,T_TURFIO_3,51.3
1:28:54 PM,T_TURFIO_2,53.6
1:28:54 PM,T_TURFIO_1,63.2
1:28:54 PM,T_TURFIO_0,61.9
1:28:54 PM,T_RPU_TURF,56.6
1:28:54 PM,T_APU_TURF,55.1
1:29:07 PM,T_TURFIO_3,50.6
1:29:07 PM,T_TURFIO_2,53.3
1:29:07 PM,T_TURFIO_1,62.9
1:29:07 PM,T_TURFIO_0,61.5
1:29:07 PM,T_RPU_TURF,55.5
1:29:07 PM,T_APU_TURF,54.4
1:29:21 PM,T_TURFIO_3,50.9
1:29:21 PM,T_TURFIO_2,52.9
1:29:21 PM,T_TURFIO_1,63.5
1:29:21 PM,T_TURFIO_0,62.1
1:29:21 PM,T_RPU_TURF,54.7
1:29:21 PM,T_APU_TURF,55.3
1:29:34 PM,T_TURFIO_3,51.6
1:29:34 PM,T_TURFIO_2,53.5
1:29:34 PM,T_TURFIO_1,63.5
1:29:34 PM,T_TURFIO_0,61.8
1:29:34 PM,T_RPU_TURF,55.6
1:29:34 PM,T_APU_TURF,53.8
1:29:47 PM,T_TURFIO_3,51.6
1:29:47 PM,T_TURFIO_2,53.6
1:29:47 PM,T_TURFIO_1,63.7
1:29:47 PM,T_TURFIO_0,61.3
1:29:47 PM,T_RPU_TURF,56.1
1:29:47 PM,T_APU_TURF,54.5
1:30:01 PM,T_TURFIO_3,52.3
1:30:01 PM,T_TURFIO_2,53.6
1:30:01 PM,T_TURFIO_1,62.9
1:30:01 PM,T_TURFIO_0,62.5
1:30:01 PM,T_RPU_TURF,54.4
1:30:01 PM,T_APU_TURF,54.9
1:30:14 PM,T_TURFIO_3,51.7
1:30:14 PM,T_TURFIO_2,54.3
1:30:14 PM,T_TURFIO_1,63.7
1:30:14 PM,T_TURFIO_0,62
1:30:14 PM,T_RPU_TURF,54.8
1:30:14 PM,T_APU_TURF,54.2
1:30:27 PM,T_TURFIO_3,51.7
1:30:27 PM,T_TURFIO_2,53.9
1:30:27 PM,T_TURFIO_1,63.9
1:30:27 PM,T_TURFIO_0,62.4
1:30:27 PM,T_RPU_TURF,54.8
1:30:27 PM,T_APU_TURF,54.7
1:30:41 PM,T_TURFIO_3,52.4
1:30:41 PM,T_TURFIO_2,53.4
1:30:41 PM,T_TURFIO_1,63.9
1:30:41 PM,T_TURFIO_0,61.5
1:30:41 PM,T_RPU_TURF,53.2
1:30:41 PM,T_APU_TURF,53.9
1:30:54 PM,T_TURFIO_3,50.9
1:30:54 PM,T_TURFIO_2,53.8
1:30:54 PM,T_TURFIO_1,64.4
1:30:54 PM,T_TURFIO_0,62.9
1:30:54 PM,T_RPU_TURF,54.6
1:30:54 PM,T_APU_TURF,54.6
1:31:07 PM,T_TURFIO_3,51.7
1:31:07 PM,T_TURFIO_2,54.1
1:31:07 PM,T_TURFIO_1,64.5
1:31:07 PM,T_TURFIO_0,61.8
1:31:07 PM,T_RPU_TURF,55.2
1:31:07 PM,T_APU_TURF,55.2
1:31:21 PM,T_TURFIO_3,52.3
1:31:21 PM,T_TURFIO_2,54.1
1:31:21 PM,T_TURFIO_1,65.3
1:31:21 PM,T_TURFIO_0,62.8
1:31:21 PM,T_RPU_TURF,54.6
1:31:21 PM,T_APU_TURF,54.3
1:31:33 PM,T_TURFIO_0,62.6
1:31:33 PM,T_RPU_TURF,54.9
1:31:33 PM,T_APU_TURF,55.1
1:33:23 PM,T_TURFIO_2,53.9
1:33:23 PM,T_TURFIO_1,63.4
1:33:23 PM,T_TURFIO_0,61.3
1:33:23 PM,T_RPU_TURF,55.2
1:33:23 PM,T_APU_TURF,55.4
1:33:24 PM,T_TURFIO_3,52
1:34:14 PM,T_TURFIO_3,53.3
1:34:14 PM,T_TURFIO_2,55.4
1:34:14 PM,T_TURFIO_1,64.2
1:34:14 PM,T_TURFIO_0,62.4
1:34:14 PM,T_RPU_TURF,53.9
1:34:14 PM,T_APU_TURF,54.6
1:34:24 PM,T_TURFIO_3,53.3
1:34:24 PM,T_TURFIO_2,55.4
1:34:24 PM,T_TURFIO_1,64
1:34:24 PM,T_TURFIO_0,62.6
1:34:24 PM,T_RPU_TURF,55.2
1:34:24 PM,T_APU_TURF,54.5
1:34:34 PM,T_TURFIO_3,52.8
1:34:34 PM,T_TURFIO_2,54.6
1:34:34 PM,T_TURFIO_1,64.1
1:34:34 PM,T_TURFIO_0,62.8
1:34:34 PM,T_RPU_TURF,55.3
1:34:34 PM,T_APU_TURF,55
1:34:45 PM,T_TURFIO_3,53.6
1:34:45 PM,T_TURFIO_2,55.4
1:34:45 PM,T_TURFIO_1,63.9
1:34:45 PM,T_TURFIO_0,62.1
1:34:45 PM,T_RPU_TURF,55.1
1:34:45 PM,T_APU_TURF,54.7
1:34:55 PM,T_TURFIO_3,52.7
1:34:55 PM,T_TURFIO_2,56
1:34:55 PM,T_TURFIO_1,64.6
